Account,Creditline,Target,predicted_target,top_feature_1,top_feature_1_value,top_feature_1_shap,top_feature_2,top_feature_2_value,top_feature_2_shap,top_feature_3,top_feature_3_value,top_feature_3_shap,top_feature_4,top_feature_4_value,top_feature_4_shap,top_feature_5,top_feature_5_value,top_feature_5_shap,analyst_summary
5223744,5223744-01-005,Low Risk,Low Risk,account_total_savings,-0.10135612680774764,1.4659437403677444,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Duration,-1.182566385295585,1.1797937368848945,account_total_outstanding,-0.3186873388222764,-1.054853742843972,Periodicity,-1.3106410556482142,1.0526101190264106,"account_total_savings=-0.1014 (pushes_toward Low Risk, shap=1.4659); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Duration=-1.1826 (pushes_toward Low Risk, shap=1.1798); account_total_outstanding=-0.3187 (pushes_away Low Risk, shap=-1.0549); Periodicity=-1.3106 (pushes_toward Low Risk, shap=1.0526)"
5223744,5223744-01-006,Low Risk,Low Risk,account_total_savings,-0.10135612680774764,1.4659437403677444,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Duration,-1.182566385295585,1.1797937368848945,Outstanding,-0.4657640230032531,1.1226756304597056,remaining_to_duration_ratio,0.8122637446289507,1.0700533254252147,"account_total_savings=-0.1014 (pushes_toward Low Risk, shap=1.4659); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Duration=-1.1826 (pushes_toward Low Risk, shap=1.1798); Outstanding=-0.4658 (pushes_toward Low Risk, shap=1.1227); remaining_to_duration_ratio=0.8123 (pushes_toward Low Risk, shap=1.0701)"
5223744,5223744-02-02,Low Risk,Low Risk,account_total_savings,-0.10135612680774764,1.4659437403677444,Voluntary saving,-0.16153200381944186,-1.1048743784775996,account_total_outstanding,-0.3186873388222764,-1.054853742843972,Outstanding,-0.26647615153355836,0.9794865574102594,Compulsory saving,-0.2122778480765135,-0.9340009323850937,"account_total_savings=-0.1014 (pushes_toward Low Risk, shap=1.4659); Voluntary saving=-0.1615 (pushes_away Low Risk, shap=-1.1049); account_total_outstanding=-0.3187 (pushes_away Low Risk, shap=-1.0549); Outstanding=-0.2665 (pushes_toward Low Risk, shap=0.9795); Compulsory saving=-0.2123 (pushes_away Low Risk, shap=-0.9340)"
5223750,5223750-01-008,Low Risk,Low Risk,account_loan_count,2.3349712360315604,3.203802562076434,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Salary,-0.3560827668887679,-1.3427155651591356,Outstanding,-0.4066633828935339,1.080211601858615,Duration,-1.0613164848117256,1.0724747189754134,"account_loan_count=2.3350 (pushes_toward Low Risk, shap=3.2038); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Salary=-0.3561 (pushes_away Low Risk, shap=-1.3427); Outstanding=-0.4067 (pushes_toward Low Risk, shap=1.0802); Duration=-1.0613 (pushes_toward Low Risk, shap=1.0725)"
5223750,5223750-01-009,Low Risk,Low Risk,account_loan_count,2.3349712360315604,3.203802562076434,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Salary,-0.3560827668887679,-1.3427155651591356,Outstanding,-0.43653926673324145,1.101677534943214,Duration,-1.0613164848117256,1.0724747189754134,"account_loan_count=2.3350 (pushes_toward Low Risk, shap=3.2038); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Salary=-0.3561 (pushes_away Low Risk, shap=-1.3427); Outstanding=-0.4365 (pushes_toward Low Risk, shap=1.1017); Duration=-1.0613 (pushes_toward Low Risk, shap=1.0725)"
5223750,5223750-01-010,Low Risk,Low Risk,account_loan_count,2.3349712360315604,3.203802562076434,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Salary,-0.3560827668887679,-1.3427155651591356,Outstanding,-0.46158905782182286,1.1196759025287781,Duration,-1.0613164848117256,1.0724747189754134,"account_loan_count=2.3350 (pushes_toward Low Risk, shap=3.2038); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Salary=-0.3561 (pushes_away Low Risk, shap=-1.3427); Outstanding=-0.4616 (pushes_toward Low Risk, shap=1.1197); Duration=-1.0613 (pushes_toward Low Risk, shap=1.0725)"
5223750,5223750-01-011,Low Risk,Low Risk,account_loan_count,2.3349712360315604,3.203802562076434,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Salary,-0.3560827668887679,-1.3427155651591356,Outstanding,-0.4699389881846834,1.125675358390633,Duration,-1.0613164848117256,1.0724747189754134,"account_loan_count=2.3350 (pushes_toward Low Risk, shap=3.2038); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Salary=-0.3561 (pushes_away Low Risk, shap=-1.3427); Outstanding=-0.4699 (pushes_toward Low Risk, shap=1.1257); Duration=-1.0613 (pushes_toward Low Risk, shap=1.0725)"
5223750,5223750-01-012,Low Risk,Low Risk,account_loan_count,2.3349712360315604,3.203802562076434,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Salary,-0.3560827668887679,-1.3427155651591356,Outstanding,-0.46158905782182286,1.1196759025287781,Duration,-1.0613164848117256,1.0724747189754134,"account_loan_count=2.3350 (pushes_toward Low Risk, shap=3.2038); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Salary=-0.3561 (pushes_away Low Risk, shap=-1.3427); Outstanding=-0.4616 (pushes_toward Low Risk, shap=1.1197); Duration=-1.0613 (pushes_toward Low Risk, shap=1.0725)"
5223750,5223750-02-00,Low Risk,Low Risk,account_loan_count,2.3349712360315604,3.203802562076434,Salary,-0.3560827668887679,-1.3427155651591356,Voluntary saving,-0.1627176988300173,-1.1063111444876967,account_total_outstanding,-0.3285750233321914,-1.0605092576118695,account_total_savings,0.3824277024935036,1.0207911955647724,"account_loan_count=2.3350 (pushes_toward Low Risk, shap=3.2038); Salary=-0.3561 (pushes_away Low Risk, shap=-1.3427); Voluntary saving=-0.1627 (pushes_away Low Risk, shap=-1.1063); account_total_outstanding=-0.3286 (pushes_away Low Risk, shap=-1.0605); account_total_savings=0.3824 (pushes_toward Low Risk, shap=1.0208)"
5223774,5223774-01-014,Low Risk,Low Risk,account_total_savings,-0.28209075223343555,1.6322462779256048,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Salary,-0.34046580614249433,-1.3205233280093365,Duration,-1.0613164848117256,1.0724747189754134,Periodicity,-1.3106410556482142,1.0526101190264106,"account_total_savings=-0.2821 (pushes_toward Low Risk, shap=1.6322); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Salary=-0.3405 (pushes_away Low Risk, shap=-1.3205); Duration=-1.0613 (pushes_toward Low Risk, shap=1.0725); Periodicity=-1.3106 (pushes_toward Low Risk, shap=1.0526)"
